endpoint,identity,status,bytes,flag
"PATCH /api/customers/:id","nobody",429,55,""
"PATCH /api/customers/:id","viewer",429,55,""
"PATCH /api/customers/:id","portal-admin",429,55,""
"PATCH /api/customers/:id","portal-other",429,55,""
"PATCH /api/customers/:id","portal-driver",429,55,""
"DELETE /api/customers/:id","anon",429,55,""
"DELETE /api/customers/:id","nobody",429,55,""
"DELETE /api/customers/:id","viewer",429,55,""
"DELETE /api/customers/:id","portal-admin",429,55,""
"DELETE /api/customers/:id","portal-other",429,55,""
"DELETE /api/customers/:id","portal-driver",429,55,""
"GET /api/reservations/range","anon",429,55,""
"GET /api/reservations/range","nobody",429,55,""
"GET /api/reservations/range","viewer",429,55,""
"GET /api/reservations/range","manager",429,55,""
"GET /api/reservations/range","admin",429,55,""
"GET /api/reservations/range","portal-admin",429,55,""
"GET /api/reservations/range","portal-other",429,55,""
"GET /api/reservations/range","portal-driver",429,55,""
"GET /api/reservations/range/:startDate/:endDate","anon",429,55,""
"GET [999999999] /api/reservations/range/:startDate/:endDate","anon",429,55,""
"GET /api/reservations/range/:startDate/:endDate","nobody",429,55,""
"GET [999999999] /api/reservations/range/:startDate/:endDate","nobody",429,55,""
"GET /api/reservations/range/:startDate/:endDate","viewer",429,55,""
"GET [999999999] /api/reservations/range/:startDate/:endDate","viewer",429,55,""
"GET /api/reservations/range/:startDate/:endDate","manager",429,55,""
"GET [999999999] /api/reservations/range/:startDate/:endDate","manager",429,55,""
"GET /api/reservations/range/:startDate/:endDate","admin",429,55,""
"GET [999999999] /api/reservations/range/:startDate/:endDate","admin",429,55,""
"GET /api/reservations/range/:startDate/:endDate","portal-admin",429,55,""
"GET [999999999] /api/reservations/range/:startDate/:endDate","portal-admin",429,55,""
"GET /api/reservations/range/:startDate/:endDate","portal-other",429,55,""
"GET [999999999] /api/reservations/range/:startDate/:endDate","portal-other",429,55,""
"GET /api/reservations/range/:startDate/:endDate","portal-driver",429,55,""
"GET [999999999] /api/reservations/range/:startDate/:endDate","portal-driver",429,55,""
"GET /api/reservations/upcoming","anon",429,55,""
